hcp_id,first_name,last_name,npi,specialty,email,phone,site_id,region,active_flag
HCP1240,Heather,Velazquez,8327232561,Oncology,smithtroy@gmail.com,001-835-125-8874x56815,SITE14,South,Y
HCP1241,Christopher,Middleton,5361041997,Cardiology,ryancross@gmail.com,075-573-9139,SITE14,South,N
HCP1242,Melissa,Rios,617916637,Internal Medicine,travismerritt@scott.net,001-577-215-8602x047,SITE21,South,N
HCP1243,Austin,Rodriguez,7788564101,Neurology,johnsonryan@gmail.com,043-728-3247x471,SITE29,East,N
HCP1244,Jacob,Hood,3157412714,Oncology,laura08@gregory-adkins.info,844.304.7880,SITE18,South,N
HCP1245,Gregory,Murphy,7553770370,Oncology,qbennett@hayden-roberts.info,001-004-998-2445x8202,SITE9,West,N
HCP1246,Kylie,Rojas,1238143346,Internal Medicine,brianlee@hotmail.com,048-291-4186,SITE20,South,N
HCP1247,Jeffrey,Tran,5870238608,Endocrinology,mtorres@hotmail.com,720-000-0643x053,SITE14,North,N
HCP1248,Debra,Walker,1900258292,Pediatrics,turnerstephanie@gmail.com,001-682-142-2481,SITE3,West,Y
HCP1249,Alexander,Kaufman,110396975,Cardiology,robert03@hotmail.com,+1-367-743-7483x393,SITE30,East,N
HCP1250,Caleb,Jackson,5426626548,Oncology,wrighthailey@bates-thompson.net,376.304.6440x57371,SITE13,South,N
HCP1251,Tiffany,Lewis,8644598485,Cardiology,michael54@gmail.com,001-808-338-6240,SITE10,South,Y
HCP1252,Heather,Koch,6710618118,Internal Medicine,rbradley@santana.com,141.986.1042x5610,SITE11,South,Y
HCP1253,Matthew,Wade,6957366146,Neurology,hicksstacy@hardin.com,001-387-956-9769x6747,SITE20,South,Y
HCP1254,Matthew,Banks,1847071244,Oncology,johnkelly@moore.com,(796)134-1110,SITE17,East,N
HCP1255,Ashley,Irwin,4786536712,Pediatrics,amy95@hotmail.com,001-237-907-2496x63430,SITE26,South,Y
HCP1256,Vicki,Hobbs,9836787991,Endocrinology,tamilam@yahoo.com,(027)655-7828x66892,SITE5,North,N
HCP1257,Sylvia,Morris,7552552480,Cardiology,justin20@ford-harris.com,(491)610-5781x2344,SITE17,East,N
HCP1258,Kevin,Taylor,3399785807,Oncology,gmartinez@collins-west.biz,757.619.3607,SITE28,North,Y
HCP1259,Jeffrey,James,3900205890,Endocrinology,jessicacastro@downs.com,+1-667-800-8823x18079,SITE12,South,Y
HCP1260,Laurie,Maxwell,4182074724,Internal Medicine,markballard@yahoo.com,+1-028-094-2304,SITE24,South,N
HCP1261,Chad,Acosta,5529253275,Neurology,christinabooker@yahoo.com,+1-728-768-8544x98770,SITE1,North,N
HCP1262,Michael,Garcia,3331679144,Cardiology,lmoran@wilson-barrett.com,(787)362-5276,SITE28,East,N
HCP1263,Edward,Dickson,3483900382,Pediatrics,wardrichard@webb.net,894.628.2413,SITE13,West,N
HCP1264,Ashley,Pierce,2043930940,Endocrinology,lyonsjanet@hotmail.com,001-393-920-6512,SITE27,West,N
HCP1265,Joshua,Simpson,5713848652,Pediatrics,veronicajones@yahoo.com,203-593-6618,SITE24,North,Y
HCP1266,Joseph,Melendez,2169486637,Internal Medicine,john52@keith-macias.com,+1-111-260-4835x021,SITE6,West,N
HCP1267,Erin,Martinez,7444338525,Cardiology,mholloway@barker.com,+1-629-060-4172x53305,SITE6,East,Y
HCP1268,Christopher,Jones,4347474467,Neurology,jgriffith@harrington-lee.com,254-274-0377x67169,SITE13,East,Y
HCP1269,Elizabeth,Juarez,6359488204,Pediatrics,blakehudson@smith.org,887.654.1275x493,SITE24,North,Y
HCP1270,John,Flores,1821926437,Pediatrics,warnermatthew@mclaughlin.biz,821-157-4163,SITE3,South,N
HCP1271,Daniel,Hall,3537596999,Pediatrics,hardyseth@hernandez.com,798-615-3878x2135,SITE25,West,Y
HCP1272,Adam,Tran,8941852686,Endocrinology,lewismichelle@gmail.com,001-709-278-1573x0061,SITE3,North,N
HCP1273,Angela,Rogers,1600634636,Endocrinology,mcconnellsteve@hotmail.com,863-497-9356,SITE14,North,Y
HCP1274,Anthony,Martin,4785031226,Oncology,mary68@roberts-mayer.net,335.751.8167x860,SITE18,East,N
HCP1275,Joseph,Larsen,7585450613,Endocrinology,adrianalamb@giles.com,+1-865-637-1489x22410,SITE3,South,Y
HCP1276,Kelly,Wilson,8858987212,Internal Medicine,ashleywilson@bailey.biz,(578)753-9096x648,SITE23,North,Y
HCP1277,Ashley,Carroll,5474450940,Neurology,christopher85@price-mcconnell.com,643-251-4144x431,SITE21,North,Y
HCP1278,David,Mclaughlin,3642448411,Oncology,kaylatrevino@graves-wood.com,850.284.9881,SITE10,East,Y
HCP1279,Rebecca,Jordan,5753416840,Internal Medicine,hjones@burgess.biz,+1-441-658-9051,SITE8,North,N
HCP1280,Justin,Ellison,3433836595,Neurology,xjones@friedman.org,001-619-648-8737x97586,SITE1,East,N
HCP1281,Benjamin,Davis,7470138502,Endocrinology,jenkinsroy@yahoo.com,612.924.3713,SITE5,South,Y
HCP1282,Travis,Murray,6171137350,Internal Medicine,phicks@martinez-carney.com,6543764615,SITE24,West,Y
HCP1283,Christina,Chapman,7227206614,Internal Medicine,susanhowe@anderson-grant.biz,001-068-636-8723,SITE13,North,N
HCP1284,Cynthia,Gill,1666777487,Endocrinology,zdavis@hendrix.com,6218644226,SITE21,West,Y
HCP1285,Teresa,Hunt,3599823665,Neurology,trobertson@hotmail.com,001-092-977-0051x9601,SITE11,East,N
HCP1286,Amanda,Compton,1033410095,Oncology,jondunn@peterson.com,(776)196-0855,SITE30,West,N
HCP1287,Colton,Gross,566503526,Oncology,aaronfreeman@simpson.org,+1-109-602-8394x63533,SITE21,West,Y
HCP1288,Joshua,Macdonald,9639178142,Neurology,nskinner@hotmail.com,391-397-8362x3670,SITE25,North,N
HCP1289,Amanda,Tate,4946555663,Endocrinology,danny16@meyer.org,663.022.4445x012,SITE8,North,N
HCP1290,Mary,Miller,15438216,Oncology,munozcourtney@stone.biz,(973)916-5194,SITE9,South,N
HCP1291,Barbara,Underwood,1185245726,Endocrinology,lalexander@fowler.com,816.997.5982x199,SITE13,North,N
HCP1292,Lance,Hall,2174389354,Oncology,scottbrandi@gmail.com,044.507.8725x986,SITE17,North,N
HCP1293,David,Thomas,111569176,Pediatrics,sandra80@norton.com,270-986-6394x146,SITE26,West,Y
HCP1294,Isaiah,Meadows,509867973,Oncology,michael83@yahoo.com,+1-207-883-4307x2769,SITE11,North,N
HCP1295,Elizabeth,Daniel,5133417321,Pediatrics,brownlisa@hotmail.com,+1-106-622-8736x81855,SITE10,West,Y
HCP1296,Crystal,Lester,2087019455,Cardiology,judithflores@hotmail.com,+1-382-173-6886x36185,SITE11,West,N
HCP1297,Latoya,Alexander,8624959993,Oncology,johnstonjonathan@gmail.com,664.934.1710x717,SITE18,East,Y
HCP1298,Joshua,Lawrence,2100097355,Neurology,moyermary@gmail.com,001-734-068-7491x86997,SITE1,West,Y
HCP1299,Jesse,Gray,9947274908,Cardiology,robert53@hotmail.com,+1-026-534-3046,SITE17,North,Y
